Scheme Name,Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,111.8786
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,114.7429
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,112.8134
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,158.3176
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.4498
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,109.6865
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.3085
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,112.4762
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,313.3663
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,470.4031
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,322.8907
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2319.5735
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1037.2309
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.9515
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2263.0041
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1037.0415
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.9328
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.0823
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4768
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4753
BANDHAN Banking & PSU Debt Fund - Direct Growth,21.6539
BANDHAN Banking & PSU Debt Fund - Direct IDCW,11.3911
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.4675
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.8510
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.1375
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8788
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6308
BANDHAN Banking & PSU Debt Fund - Regular Growth,21.1755
BANDHAN Banking & PSU Debt Fund - Regular IDCW,11.4347
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.7108
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.7586
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.2234
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,10.9726
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.3510
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,10.8638
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.1903
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.2492
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,10.4556
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.4553
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,10.4340
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.4340
DSP Banking & PSU Debt Fund - Direct Plan - Growth,21.1424
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.3535
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1600
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.2626
